candidate_id,gender,race,age,education_years,experience_years,skill_score,interview_score,certification_count,project_count,gpa,hired
97,Female,Other,59,19,35,85.14,36.31,0,14,3.87,0
98,Male,Asian,46,16,28,62.51,92.18,4,1,3.66,1
99,Male,Other,47,12,28,69.16,93.66,1,8,3.46,1
100,Male,White,34,18,11,64.43,37.35,7,14,2.3,0
101,Male,Asian,49,17,30,79.03,99.35,5,13,2.7,1
102,Female,Asian,54,16,31,61.37,50.83,6,3,3.13,0
103,Male,White,58,12,35,97.83,35.89,5,3,2.15,1
104,Female,Hispanic,51,12,28,96.17,30.35,6,1,2.21,0
105,Non-Binary,Other,29,17,10,90.88,58.6,2,14,3.87,0
106,Male,Hispanic,22,21,3,95.22,74.09,1,4,3.41,1
107,Male,Asian,33,18,12,66.95,53.25,5,12,2.55,0
108,Female,White,26,21,8,72.19,88.57,1,5,2.65,0
109,Male,White,45,21,24,84.53,80.16,7,9,2.77,1
110,Male,Other,27,12,3,81.77,54.51,1,5,2.15,0
111,Male,White,46,20,27,93.44,81.4,0,2,3.48,1
112,Male,Asian,22,15,4,82.98,95.83,5,11,2.35,1
113,Non-Binary,Asian,46,16,24,99.87,36.52,6,14,3.61,1
114,Female,Asian,22,13,0,60.91,51.43,3,14,3.69,0
115,Female,Other,53,21,29,89.98,62.43,7,13,3.28,1
116,Female,White,24,19,4,81.86,64.86,6,8,3.54,0
117,Female,White,40,13,20,81.48,67.95,7,6,2.34,1
118,Male,White,50,14,32,59.55,51.04,7,12,3.15,1
119,Female,Black,23,20,0,87.14,76.71,0,13,3.35,0
120,Female,White,30,13,7,94.02,75.16,0,2,3.32,0
121,Female,White,38,17,20,53.11,70.45,7,3,2.23,0
122,Female,Hispanic,57,15,34,77.53,37.96,1,6,2.69,0
123,Male,Other,38,18,17,63.53,63.39,3,10,2.65,1
124,Male,White,33,17,10,99.37,54.94,0,7,3.15,1
125,Male,White,41,21,21,68.73,64.37,3,5,3.53,1
126,Male,Other,24,20,1,53.7,94.53,5,3,3.14,0
127,Female,White,25,20,6,62.91,63.64,1,11,3.51,0
128,Female,White,38,21,20,79.23,30.98,0,1,2.2,0
129,Male,White,58,15,35,44.57,60.72,3,9,3.76,1
130,Female,Black,36,12,16,76.22,87.45,4,7,3.07,0
131,Male,White,54,13,32,95.87,84.6,6,0,2.07,1
132,Male,Other,37,19,17,91.02,65.94,0,8,3.29,1
133,Male,Black,32,21,8,44.06,47.48,0,14,3.03,0
134,Male,Black,41,19,22,99.6,62.56,0,7,2.44,1
135,Non-Binary,White,59,13,35,81.92,69.46,3,2,3.53,1
136,Male,Black,45,15,26,49.74,99.99,2,9,3.87,1
137,Female,Asian,37,12,17,40.74,75.09,7,3,2.65,0
138,Female,Hispanic,51,18,29,50.28,78.6,5,9,2.99,0
139,Male,Hispanic,55,15,33,90.29,64.4,6,3,2.26,1
140,Non-Binary,Black,22,19,4,41.3,54.81,0,1,3.86,0
141,Non-Binary,Other,45,20,25,53.99,86.91,4,11,2.64,1
142,Male,Hispanic,45,20,25,85.44,64.65,4,10,2.39,1
143,Female,Hispanic,30,14,9,75.17,99.63,7,9,2.96,0
144,Male,White,43,16,24,86.96,62.0,1,4,2.09,1
145,Male,White,33,17,14,84.77,34.76,2,12,2.51,0
146,Male,White,38,17,19,43.04,77.78,2,11,2.14,0
147,Female,Asian,46,21,27,93.55,33.26,3,2,2.25,0
148,Female,Black,49,19,25,53.62,47.54,1,11,2.22,0
149,Male,Black,36,17,12,73.2,54.76,6,10,3.74,0
150,Male,Hispanic,51,17,28,78.66,81.76,3,0,3.86,1
151,Non-Binary,Hispanic,48,15,28,50.12,64.6,1,1,2.95,0
152,Male,Other,43,18,23,98.57,32.01,5,10,3.26,1
153,Male,White,31,19,11,69.29,73.18,2,11,3.39,1
154,Female,Asian,52,14,32,43.46,58.8,6,6,2.78,0
155,Non-Binary,White,48,18,29,96.24,94.53,5,14,2.74,1
156,Male,White,33,14,14,75.18,64.97,6,0,3.35,0
157,Female,White,52,19,28,81.95,79.63,3,14,2.75,1
158,Female,White,53,12,31,71.51,45.32,1,11,3.16,0
159,Male,Black,53,12,32,90.08,83.27,2,12,3.03,1
160,Female,Hispanic,56,17,35,41.99,80.47,2,12,3.05,0
161,Male,White,42,21,23,56.1,93.29,7,1,3.66,1
162,Female,Asian,31,20,13,68.18,32.37,6,13,3.41,0
163,Female,Black,37,15,18,44.6,61.33,6,9,3.92,0
164,Female,White,28,17,6,82.35,77.54,6,6,3.58,0
165,Male,Black,25,16,3,63.62,36.66,0,0,2.29,0
166,Female,White,48,12,24,56.36,58.74,7,6,3.48,0
167,Male,Black,46,17,27,40.2,95.95,3,12,3.33,0
168,Male,Black,52,20,34,83.19,60.52,0,7,3.29,1
169,Male,White,32,14,11,90.03,98.98,7,10,2.96,1
170,Female,White,41,14,21,63.7,33.98,6,12,2.12,0
171,Female,Black,57,13,35,73.85,80.25,6,13,3.9,1
172,Male,Other,38,15,14,53.66,70.67,2,1,3.7,0
173,Female,White,32,21,8,77.33,65.04,3,3,2.97,0
174,Male,Asian,51,14,30,40.73,97.96,3,6,2.32,1
175,Female,Asian,56,13,35,69.32,39.08,5,0,3.65,0
176,Male,Other,59,12,35,78.65,92.72,4,5,2.86,1
177,Female,Hispanic,43,14,19,95.09,78.39,7,4,2.78,0
178,Male,Black,48,21,26,62.88,48.13,1,10,3.33,0
179,Non-Binary,Asian,58,17,35,85.91,93.12,4,5,3.52,1
180,Male,Hispanic,56,20,35,75.86,60.05,4,7,2.13,1
181,Male,White,25,16,1,95.62,87.0,6,10,3.54,1
182,Male,White,37,14,19,63.9,57.22,2,10,3.47,0
183,Non-Binary,White,37,16,17,59.15,89.57,5,0,3.18,0
184,Female,Hispanic,42,16,18,93.23,74.56,1,2,2.68,0
185,Male,Hispanic,47,16,26,42.95,39.87,6,10,2.33,0
186,Female,White,57,18,35,48.18,75.48,6,12,2.21,1
187,Female,Black,40,16,22,44.94,43.39,4,8,2.0,0
188,Female,Black,38,18,14,90.59,58.83,4,11,2.41,0
189,Female,White,47,20,29,40.64,41.92,3,7,2.82,0
190,Male,Other,43,16,20,91.7,31.54,2,3,2.49,0
191,Male,White,49,13,31,67.08,44.83,4,10,2.62,0
192,Female,White,22,16,4,40.24,67.55,1,13,2.78,0
193,Non-Binary,Black,57,19,35,64.1,63.71,0,9,2.62,1
194,Female,Asian,58,15,35,51.21,65.1,6,8,3.45,0
195,Male,White,23,13,4,77.46,47.34,0,6,2.98,0
196,Male,Asian,38,21,19,80.76,77.96,2,1,2.04,1
197,Female,Black,59,14,35,69.25,79.3,0,0,2.45,0
198,Female,White,42,20,24,42.43,55.06,3,0,3.42,0
199,Female,White,30,20,11,79.37,91.68,3,12,2.6,1
200,Female,Black,34,19,14,90.52,75.08,1,2,3.84,0
201,Female,White,32,19,11,83.22,79.91,5,12,3.43,1
202,Male,Other,37,19,14,89.8,49.41,2,13,2.58,1
203,Male,Hispanic,37,19,15,52.03,30.04,2,14,3.03,0
204,Female,Other,23,19,0,93.33,90.58,6,9,3.33,1
205,Female,White,29,12,5,59.33,87.57,0,1,2.39,0
206,Male,Other,34,17,10,40.8,38.62,4,3,2.49,0
207,Male,Black,38,20,17,90.6,56.19,4,13,3.01,1
208,Female,White,45,19,22,96.51,76.29,5,14,3.85,1
209,Male,White,24,14,5,79.33,75.65,6,13,2.69,0
210,Male,White,51,12,28,53.89,90.22,4,7,2.8,1
211,Female,Asian,34,13,11,55.1,39.82,5,4,2.38,0
212,Female,Black,40,13,18,68.0,60.1,7,4,3.19,0
213,Female,White,28,18,7,93.87,36.81,6,5,3.48,0
214,Male,Asian,30,17,6,48.98,57.27,7,12,2.88,1
215,Female,White,40,13,18,89.56,31.06,1,11,3.5,0
216,Male,Black,43,19,24,57.48,92.88,2,14,2.61,1
217,Male,White,39,20,16,88.52,66.89,0,14,3.41,1
218,Female,Hispanic,44,18,26,95.22,89.49,1,4,2.52,1
219,Female,Hispanic,23,15,0,65.65,34.19,3,4,3.56,0
220,Female,Black,32,12,11,61.9,45.92,3,14,3.66,0
221,Female,White,52,15,32,88.13,48.16,3,13,3.6,1
222,Female,White,54,15,31,71.77,57.07,5,6,2.43,0
223,Male,Hispanic,35,19,12,81.07,86.2,5,5,3.39,1
224,Male,White,37,15,14,77.37,57.06,6,12,3.08,1
225,Male,White,32,15,9,49.17,44.33,2,12,3.97,0
226,Male,White,54,13,30,90.69,34.55,3,13,2.72,1
227,Non-Binary,Black,28,21,7,51.75,35.56,5,9,3.54,0
228,Male,Black,52,18,30,95.94,83.2,6,10,2.74,1
229,Female,Hispanic,35,15,11,55.03,61.14,5,1,2.79,0
230,Female,White,49,17,28,84.03,80.83,4,12,2.22,1
231,Female,White,37,14,15,57.08,77.76,5,0,2.48,0
232,Female,Hispanic,40,18,17,59.07,39.48,3,0,2.33,0
233,Female,Hispanic,38,17,17,58.6,40.0,1,3,2.32,0
234,Female,White,47,14,24,84.87,82.87,3,1,2.02,1
235,Male,Black,27,15,9,73.41,80.49,6,5,3.59,0
236,Female,White,30,21,9,92.98,56.46,6,11,2.94,1
237,Male,Other,38,16,19,58.44,35.42,6,11,3.61,0
238,Male,White,52,20,32,81.52,30.85,4,8,3.23,1
239,Female,Other,33,17,10,85.18,50.17,3,9,3.66,0
240,Male,Asian,44,15,21,49.09,30.65,0,10,3.01,0
241,Non-Binary,Black,26,18,3,64.04,46.11,4,14,2.19,0
242,Non-Binary,White,57,13,35,68.97,59.37,2,13,3.23,1
243,Non-Binary,Black,57,15,33,61.34,38.5,3,9,3.36,0
244,Male,Black,24,16,2,59.33,37.3,5,7,3.25,0
245,Male,White,45,15,22,81.19,92.75,1,3,3.6,1
246,Non-Binary,Asian,38,15,15,52.95,70.98,3,12,3.46,0
247,Male,Other,47,20,23,82.56,95.41,1,11,2.87,1
248,Non-Binary,Black,25,13,1,96.1,54.21,6,1,3.64,0
249,Non-Binary,Asian,33,17,13,73.91,77.4,6,0,3.38,1
250,Female,White,22,19,1,76.69,44.33,0,6,2.24,0
251,Male,Black,42,19,19,44.14,73.28,2,9,3.08,0
252,Male,White,40,18,19,91.87,39.07,5,2,3.46,1
253,Female,Asian,42,21,24,57.13,30.15,4,13,3.11,0
254,Male,Other,39,15,15,76.9,95.21,7,5,3.9,1
255,Male,Asian,24,18,0,98.75,68.84,7,4,2.2,1
256,Female,White,53,21,33,75.73,94.89,4,4,3.44,1
257,Non-Binary,White,31,17,9,83.48,53.37,2,11,3.65,0
258,Female,Black,36,17,17,66.72,52.95,0,1,3.41,0
259,Female,Black,26,13,7,43.62,58.05,0,13,2.77,0
260,Male,Hispanic,25,19,6,87.86,79.42,6,8,2.77,1
261,Female,Hispanic,49,19,25,42.1,69.61,3,10,3.17,0
262,Non-Binary,Asian,25,18,2,82.04,94.77,0,3,2.79,0
263,Male,White,36,20,16,41.38,31.78,3,9,3.77,0
264,Female,White,38,19,16,91.74,79.57,1,0,2.22,1
265,Female,White,24,20,6,49.46,53.12,2,1,3.28,0
266,Female,White,31,20,12,70.86,42.62,1,8,2.27,0
267,Female,Black,44,17,24,75.83,65.73,7,6,3.08,1
268,Female,Asian,39,13,15,67.45,65.35,1,9,3.43,0
269,Male,Asian,22,18,3,60.45,39.59,1,1,2.33,0
270,Male,White,56,14,34,68.07,44.13,1,6,3.41,0
271,Female,White,52,18,34,58.68,58.57,4,13,2.28,1
272,Female,White,22,20,1,66.29,58.62,0,3,3.24,0
273,Female,White,24,21,6,61.53,52.23,2,9,3.01,0
274,Non-Binary,Hispanic,24,21,2,73.97,40.4,7,1,2.6,0
275,Female,White,58,13,35,54.28,30.31,7,11,2.22,0
276,Female,Black,40,17,17,99.32,97.92,2,3,3.47,1
277,Female,White,50,17,31,70.05,96.04,7,4,2.76,1
278,Female,Hispanic,46,20,27,51.65,63.86,7,12,2.17,0
279,Female,Black,54,20,33,68.62,99.65,5,13,3.55,1
280,Female,White,57,16,35,91.98,77.16,1,3,2.47,1
281,Female,Black,50,16,29,41.31,34.82,7,14,3.47,0
282,Male,Asian,47,20,29,80.77,38.24,2,2,3.13,1
283,Male,Other,25,19,6,72.88,94.13,6,5,2.39,1
284,Male,White,35,18,12,50.17,74.1,3,0,2.15,0
285,Female,Hispanic,48,19,30,89.05,89.02,2,7,3.19,1
286,Male,Other,54,17,33,62.13,92.88,6,11,2.05,1
287,Female,Other,43,14,19,57.63,61.36,1,4,2.13,0
288,Female,Asian,24,18,5,89.69,33.4,2,7,3.4,0
289,Male,Asian,44,19,22,78.31,43.18,0,9,3.08,1
290,Female,Black,42,19,20,93.9,34.66,1,3,2.65,0
291,Male,Hispanic,44,12,21,77.79,43.21,4,3,3.08,0
292,Male,Black,25,18,1,84.45,58.74,7,4,3.18,0
293,Female,Asian,42,14,21,90.19,38.27,6,4,3.13,0
294,Male,Black,58,13,35,43.28,41.67,0,10,3.29,0
295,Male,Asian,52,13,33,86.56,61.21,2,5,3.88,1
296,Female,Hispanic,42,19,20,76.82,53.81,4,4,2.78,0
297,Female,White,47,20,25,44.17,62.74,5,4,2.6,0
298,Male,Hispanic,56,14,34,70.51,60.04,7,12,2.08,1
299,Female,Black,59,14,35,44.95,75.11,0,7,2.29,0
300,Male,Hispanic,45,17,25,84.16,95.6,5,5,2.21,1
301,Male,Black,32,21,9,72.79,37.55,3,1,2.67,0
302,Female,White,50,12,29,97.21,36.95,0,3,3.22,0
303,Female,Other,24,17,5,50.99,89.7,4,3,2.09,0
304,Female,White,22,14,3,76.36,65.45,5,4,3.46,0
305,Female,Hispanic,40,15,21,52.69,83.65,3,14,2.79,0
306,Non-Binary,Black,43,20,22,76.84,45.08,7,14,3.93,0
307,Female,Black,35,14,12,83.36,88.02,5,5,3.14,0
308,Male,White,35,12,11,83.34,94.67,2,10,3.54,1
309,Female,Black,37,14,19,88.9,74.48,1,4,3.72,0
310,Male,White,54,18,35,91.21,37.41,7,13,3.78,1
311,Male,White,34,18,11,44.64,92.67,5,13,3.04,1
312,Male,White,59,16,35,60.6,85.47,2,10,2.79,1
313,Male,White,33,12,15,81.23,82.56,1,5,3.12,1
314,Non-Binary,Other,59,19,35,69.92,32.57,1,7,2.8,0
315,Female,Other,54,21,31,51.44,85.93,4,3,2.48,0
316,Female,White,54,19,31,73.16,39.66,6,10,2.65,1
317,Male,Asian,50,21,29,64.45,45.57,3,2,2.47,0
318,Male,White,26,21,5,63.4,70.4,6,8,2.54,1
319,Male,Asian,27,21,7,88.59,48.55,7,2,2.19,1
320,Male,Hispanic,52,13,33,64.46,76.29,3,10,2.85,1
321,Female,Other,37,21,17,41.59,72.56,0,7,2.47,0
322,Female,Black,52,14,33,43.48,37.57,2,9,2.9,0
323,Female,Hispanic,46,15,24,91.37,75.92,4,11,3.58,1
324,Male,White,54,12,34,97.64,94.68,5,4,2.9,1
325,Non-Binary,Other,34,15,14,81.3,41.28,2,8,3.91,0
326,Female,White,31,16,7,61.86,71.79,5,2,2.3,0
327,Female,Asian,45,14,22,96.32,53.93,6,9,3.7,1
328,Female,Asian,31,21,10,79.77,62.17,7,9,2.5,0
329,Male,Asian,52,13,32,90.66,50.09,5,7,3.87,1
330,Male,White,34,17,13,85.95,54.79,6,13,2.45,1
331,Male,Other,24,19,5,62.75,32.02,6,12,3.49,0
332,Female,White,55,18,35,68.72,98.71,5,12,2.12,1
333,Male,Asian,49,12,30,51.17,73.74,0,6,3.26,0
334,Male,White,40,15,20,57.52,65.05,6,11,2.44,0
335,Male,White,44,14,26,86.69,56.86,0,6,3.34,1
336,Male,Black,53,17,31,93.64,67.76,4,13,3.27,1
337,Female,Black,34,20,10,83.47,56.61,0,10,3.85,0
338,Female,White,54,20,35,67.91,55.19,4,9,3.25,1
339,Female,White,55,18,32,45.19,62.48,0,8,2.82,0
340,Male,Black,54,20,31,43.42,49.32,3,11,2.39,0
341,Female,Hispanic,26,19,4,62.46,42.6,4,7,3.31,0
342,Female,Hispanic,24,16,2,67.83,68.96,3,2,2.23,0
343,Male,White,28,20,10,76.55,88.99,6,13,3.66,1
344,Male,White,45,18,22,40.39,40.7,3,12,2.49,0
345,Male,White,43,16,24,99.38,32.29,7,5,3.05,1
346,Female,White,44,19,21,61.84,47.28,4,10,3.19,0
347,Female,Asian,51,18,27,90.89,98.58,2,5,2.72,1
348,Male,Asian,39,20,19,72.1,88.01,6,4,3.33,1
349,Male,White,53,21,29,47.83,71.71,6,2,2.5,1
350,Female,White,28,12,10,87.85,95.05,1,8,2.07,0
351,Female,White,54,20,35,82.59,61.17,7,6,3.92,1
352,Female,Hispanic,26,18,3,71.65,98.83,0,3,2.64,0
353,Female,Other,49,12,29,70.87,50.74,5,5,3.43,0
354,Male,White,29,12,6,45.25,46.82,0,4,3.02,0
355,Male,White,36,16,12,79.35,74.66,5,0,3.34,1
356,Female,Hispanic,25,19,1,94.67,56.47,2,1,2.22,0
357,Male,Other,55,20,35,45.59,73.85,1,0,3.04,1
358,Female,Black,26,17,7,55.81,51.35,2,8,2.78,0
359,Non-Binary,White,54,21,30,94.14,73.25,1,8,2.9,1
360,Female,White,26,19,6,57.06,49.3,4,4,3.93,0
361,Male,Black,59,17,35,79.24,33.57,4,7,2.27,0
362,Female,White,55,17,35,72.09,93.85,5,9,3.51,1
363,Female,White,47,15,28,75.78,91.82,3,3,2.66,0
364,Female,Black,22,16,1,64.95,97.96,3,0,2.58,0
365,Non-Binary,White,25,13,4,58.0,80.16,5,12,2.54,0
366,Male,Hispanic,47,14,28,42.91,77.79,7,12,2.7,0
367,Non-Binary,White,54,14,31,84.66,69.13,4,3,2.71,1
368,Non-Binary,White,54,16,34,84.77,38.82,7,6,2.54,1
369,Male,Black,29,16,7,80.24,43.25,5,10,3.33,0
370,Male,White,41,17,22,78.62,50.26,3,1,2.1,1
371,Male,Other,37,16,16,54.62,92.31,5,1,2.66,1
372,Male,Black,42,17,22,41.34,42.11,4,5,2.56,0
373,Male,White,47,19,27,88.52,94.6,2,8,3.5,1
374,Female,Asian,44,13,23,69.47,66.6,0,2,2.29,0
375,Male,White,39,15,19,58.41,80.09,4,6,3.88,1
376,Male,Other,52,17,32,46.12,37.72,5,9,2.34,0
377,Female,White,33,16,12,43.76,48.83,4,14,2.74,0
378,Male,Black,22,12,0,60.93,97.1,4,13,2.4,0
379,Female,White,30,20,11,88.28,48.63,3,8,2.57,0
380,Male,Black,24,14,1,95.12,50.76,5,10,3.52,0
381,Male,Hispanic,47,13,25,93.81,43.83,3,12,2.95,0
382,Female,Hispanic,30,20,7,95.2,39.04,5,8,2.33,0
383,Female,White,37,18,13,94.46,46.33,3,10,2.09,0
384,Female,White,45,16,27,71.63,74.96,3,3,2.46,0
385,Female,Hispanic,35,17,11,53.16,61.88,2,1,3.89,0
386,Female,Other,24,15,4,87.88,68.76,4,14,3.69,0
387,Male,White,55,12,32,52.82,38.57,7,0,2.88,0
388,Male,Black,54,15,30,56.03,86.15,2,5,2.96,0
389,Female,White,45,20,22,54.0,84.89,7,4,3.8,0
390,Female,Hispanic,30,12,6,70.9,31.51,3,5,3.18,0
391,Non-Binary,White,34,21,12,59.31,56.85,2,6,3.76,0
392,Male,White,23,14,0,49.25,34.81,6,8,2.98,0
393,Male,Hispanic,28,16,5,67.19,85.45,6,9,2.4,1
394,Female,White,42,18,22,92.43,81.61,4,9,3.45,1
395,Male,Black,40,20,17,74.23,93.14,4,10,3.05,1
396,Non-Binary,Black,46,17,25,92.7,46.55,3,5,3.34,0
397,Female,White,43,14,20,51.75,61.94,4,5,2.31,0
398,Male,White,32,18,10,50.02,42.91,2,12,3.3,0
399,Female,Black,54,15,35,74.53,55.99,1,14,2.76,0
400,Female,White,53,14,31,67.8,66.56,4,2,2.66,1
401,Male,Black,42,18,20,79.61,33.73,2,12,3.34,1
402,Non-Binary,Hispanic,41,18,17,87.68,80.04,6,7,3.18,1
403,Female,Hispanic,29,15,7,85.08,68.03,6,8,3.3,0
404,Female,White,58,18,35,96.54,88.03,2,0,3.93,1
405,Male,White,30,13,11,63.9,49.02,7,5,3.4,1
406,Female,White,46,12,28,52.38,93.23,6,6,3.28,0
407,Male,White,46,13,26,73.05,99.91,2,10,3.23,1
408,Male,Black,54,15,35,46.64,94.35,7,7,2.8,1
409,Non-Binary,Asian,23,19,1,57.33,84.45,4,14,3.68,0
410,Male,White,40,14,17,52.47,86.87,1,11,2.76,1
411,Male,White,41,21,17,63.79,70.16,3,9,3.4,1
412,Non-Binary,White,50,17,26,46.67,43.31,3,14,2.59,0
413,Non-Binary,Asian,27,17,7,41.91,77.39,4,10,2.3,0
414,Female,White,38,20,18,79.41,79.89,4,7,2.26,1
415,Female,Asian,46,20,23,76.61,98.98,6,6,3.27,1
416,Male,White,59,15,35,82.5,67.89,0,7,2.66,1
417,Male,Hispanic,25,20,5,79.62,49.0,5,10,2.55,0
418,Male,Hispanic,51,17,27,46.86,77.86,7,8,3.18,1
419,Female,White,41,13,18,57.46,98.56,1,9,2.05,0
420,Female,White,24,21,5,47.77,42.4,2,6,2.49,0
421,Female,Black,44,17,24,90.58,52.82,5,14,2.68,1
422,Female,White,39,13,16,84.81,67.93,2,14,3.42,0
423,Male,Asian,47,19,25,52.09,41.92,5,2,3.09,0
424,Female,Hispanic,57,15,33,60.48,31.56,3,14,3.71,0
425,Male,Asian,29,16,10,98.0,53.59,5,8,2.67,1
426,Female,Hispanic,38,19,14,75.65,90.58,4,0,2.59,0
427,Male,White,52,19,28,88.07,33.04,1,13,2.07,1
